sample_id,split,scenario_group,ci_platform,source_dataset,source_pipeline_id,source_run_id,timestamp,repository,branch,language,os,cloud_provider,failure_stage,severity,cpu_usage_pct,memory_usage_mb,retry_count,error_type,error_message,stack_trace_summary,failed_file,important_log_excerpt,raw_github_actions_log,model_input_text,root_cause_label,label_verified,label_method,neutral_run_context
GH_RCA_01338,train,wrong_expected,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_2920,run_38876,2025-09-15T19:56:16.927259,repo_385,develop,NodeJS,windows-latest,Azure,test,HIGH,74.22,22975,0,AssertionError,assert 180.0 == 190.0,tests/userService.test.js:142,tests/userService.test.js,"FAILED tests/userService.test.js::test_discount
AssertionError: assert 180.0 == 190.0
##[error]Process completed with exit code 1.","2025-09-15T19:56:16Z Workspace prepared
2025-09-15T19:56:16Z Environment variables loaded
2025-09-15T19:56:16Z ##[group]Run pytest
2025-09-15T19:56:16Z FAILED tests/userService.test.js::test_discount
2025-09-15T19:56:16Z AssertionError: assert 180.0 == 190.0
2025-09-15T19:56:16Z ##[error]Process completed with exit code 1.
2025-09-15T19:56:16Z Post job cleanup.
2025-09-15T19:56:16Z attempt=0; elapsed_ms=10187; worker_slot=11","stage=test | language=NodeJS | error_type=AssertionError | error_message=assert 180.0 == 190.0 | stack_trace=tests/userService.test.js:142 | failed_file=tests/userService.test.js | log=FAILED tests/userService.test.js::test_discount
AssertionError: assert 180.0 == 190.0
##[error]Process completed with exit code 1. | context=attempt=0; elapsed_ms=10187; worker_slot=11",test_script_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=0; elapsed_ms=10187; worker_slot=11
GH_RCA_00104,train,index_error,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_7999,run_25805,2025-11-16T03:28:16.927259,repo_75,main,Go,windows-latest,On-Prem,test,LOW,22.89,5754,4,IndexError,list index out of range,internal/client/api_client.go:24,internal/client/api_client.go,"internal/client/api_client.go:24
return items[0]
IndexError: list index out of range
##[error]Process completed with exit code 1.","2025-11-16T03:28:16Z Artifact upload skipped after failure
2025-11-16T03:28:16Z Using hosted Ubuntu runner
2025-11-16T03:28:16Z ##[group]Run npm test
2025-11-16T03:28:16Z internal/client/api_client.go:24
2025-11-16T03:28:16Z return items[0]
2025-11-16T03:28:16Z IndexError: list index out of range
2025-11-16T03:28:16Z ##[error]Process completed with exit code 1.
2025-11-16T03:28:16Z Post job cleanup.
2025-11-16T03:28:16Z attempt=4; elapsed_ms=10204; worker_slot=12","stage=test | language=Go | error_type=IndexError | error_message=list index out of range | stack_trace=internal/client/api_client.go:24 | failed_file=internal/client/api_client.go | log=internal/client/api_client.go:24
return items[0]
IndexError: list index out of range
##[error]Process completed with exit code 1. | context=attempt=4; elapsed_ms=10204; worker_slot=12",application_defect,yes,curated diagnostic log with real Kaggle metadata,attempt=4; elapsed_ms=10204; worker_slot=12
GH_RCA_05100,train,cpu_quota,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_5976,run_1441,2025-09-09T17:20:16.927259,repo_239,release,Rust,ubuntu-latest,AWS,build,HIGH,23.26,30930,3,CPUQuotaError,job exceeded available CPU quota,hosted runner,N/A,"CPU throttling exceeded configured quota
##[error]Process completed with exit code 1.","2025-09-09T17:20:16Z ##[group]Run actions/checkout@v4
2025-09-09T17:20:16Z Repository checkout completed
2025-09-09T17:20:16Z ##[group]Run npm test
2025-09-09T17:20:16Z CPU throttling exceeded configured quota
2025-09-09T17:20:16Z ##[error]Process completed with exit code 1.
2025-09-09T17:20:16Z Post job cleanup.
2025-09-09T17:20:16Z attempt=3; elapsed_ms=10221; worker_slot=13","stage=build | language=Rust | error_type=CPUQuotaError | error_message=job exceeded available CPU quota | stack_trace=hosted runner | failed_file=N/A | log=CPU throttling exceeded configured quota
##[error]Process completed with exit code 1. | context=attempt=3; elapsed_ms=10221; worker_slot=13",infrastructure_resource_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=3; elapsed_ms=10221; worker_slot=13
GH_RCA_04942,test,timezone_misconfigured,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_8508,run_8275,2025-11-07T06:09:16.927259,repo_255,feature-x,Java,ubuntu-latest,Azure,build,LOW,47.84,14992,4,TimezoneError,configured timezone is not available,environment setup,.github/workflows/test.yml,"TimezoneError: unknown time zone Asia/Unknown
##[error]Process completed with exit code 1.","2025-11-07T06:09:16Z ##[group]Run actions/checkout@v4
2025-11-07T06:09:16Z Runner image initialized
2025-11-07T06:09:16Z ##[group]Run go test ./...
2025-11-07T06:09:16Z TimezoneError: unknown time zone Asia/Unknown
2025-11-07T06:09:16Z ##[error]Process completed with exit code 1.
2025-11-07T06:09:16Z Post job cleanup.
2025-11-07T06:09:16Z attempt=4; elapsed_ms=10238; worker_slot=14","stage=build | language=Java | error_type=TimezoneError | error_message=configured timezone is not available | stack_trace=environment setup | failed_file=.github/workflows/test.yml | log=TimezoneError: unknown time zone Asia/Unknown
##[error]Process completed with exit code 1. | context=attempt=4; elapsed_ms=10238; worker_slot=14",workflow_environment_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=4; elapsed_ms=10238; worker_slot=14
GH_RCA_02725,validation,certificate_expired,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_3039,run_2806,2025-10-08T13:08:16.927259,repo_76,develop,Rust,macos-latest,GCP,test,MEDIUM,53.65,8181,1,CertificateError,certificate for inventory-api.example.net has expired,TLS to inventory-api.example.net,N/A,"CertificateError: certificate has expired
##[error]Process completed with exit code 1.","2025-10-08T13:08:16Z Using hosted Ubuntu runner
2025-10-08T13:08:16Z Workspace prepared
2025-10-08T13:08:16Z ##[group]Run pytest
2025-10-08T13:08:16Z CertificateError: certificate has expired
2025-10-08T13:08:16Z ##[error]Process completed with exit code 1.
2025-10-08T13:08:16Z Post job cleanup.
2025-10-08T13:08:16Z attempt=1; elapsed_ms=10255; worker_slot=15","stage=test | language=Rust | error_type=CertificateError | error_message=certificate for inventory-api.example.net has expired | stack_trace=TLS to inventory-api.example.net | failed_file=N/A | log=CertificateError: certificate has expired
##[error]Process completed with exit code 1. | context=attempt=1; elapsed_ms=10255; worker_slot=15",network_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=1; elapsed_ms=10255; worker_slot=15
GH_RCA_06931,test,container_start_error,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_4423,run_5047,2026-02-04T08:00:16.927259,repo_121,develop,C++,ubuntu-latest,Azure,deploy,MEDIUM,78.71,20349,3,ContainerStartError,container exited immediately after deployment,container startup,Dockerfile,"Back-off restarting failed container
exit code 1
##[error]Process completed with exit code 1.","2026-02-04T08:00:16Z Using hosted Ubuntu runner
2026-02-04T08:00:16Z Artifact upload skipped after failure
2026-02-04T08:00:16Z ##[group]Run go test ./...
2026-02-04T08:00:16Z Back-off restarting failed container
2026-02-04T08:00:16Z exit code 1
2026-02-04T08:00:16Z ##[error]Process completed with exit code 1.
2026-02-04T08:00:16Z Post job cleanup.
2026-02-04T08:00:16Z attempt=3; elapsed_ms=10272; worker_slot=16","stage=deploy | language=C++ | error_type=ContainerStartError | error_message=container exited immediately after deployment | stack_trace=container startup | failed_file=Dockerfile | log=Back-off restarting failed container
exit code 1
##[error]Process completed with exit code 1. | context=attempt=3; elapsed_ms=10272; worker_slot=16",deployment_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=3; elapsed_ms=10272; worker_slot=16
GH_RCA_00445,train,syntax_app,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_9200,run_9442,2025-10-25T10:11:16.927259,repo_76,release,Python,ubuntu-latest,On-Prem,build,CRITICAL,68.03,21211,1,SyntaxError,'(' was never closed,app/order_service.py:8,app/order_service.py,"File ""app/order_service.py"", line 8
raise ValueError(""Invalid email address""
^
SyntaxError: '(' was never closed
##[error]Process completed with exit code 1.","2025-10-25T10:11:16Z ##[group]Run actions/checkout@v4
2025-10-25T10:11:16Z Dependency cache restored
2025-10-25T10:11:16Z ##[group]Run kubectl rollout status
2025-10-25T10:11:16Z File ""app/order_service.py"", line 8
2025-10-25T10:11:16Z raise ValueError(""Invalid email address""
2025-10-25T10:11:16Z ^
2025-10-25T10:11:16Z SyntaxError: '(' was never closed
2025-10-25T10:11:16Z ##[error]Process completed with exit code 1.
2025-10-25T10:11:16Z Post job cleanup.
2025-10-25T10:11:16Z attempt=1; elapsed_ms=10289; worker_slot=17","stage=build | language=Python | error_type=SyntaxError | error_message='(' was never closed | stack_trace=app/order_service.py:8 | failed_file=app/order_service.py | log=File ""app/order_service.py"", line 8
raise ValueError(""Invalid email address""
^
SyntaxError: '(' was never closed
##[error]Process completed with exit code 1. | context=attempt=1; elapsed_ms=10289; worker_slot=17",application_defect,yes,curated diagnostic log with real Kaggle metadata,attempt=1; elapsed_ms=10289; worker_slot=17
GH_RCA_04847,validation,runtime_profile,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_9116,run_7306,2025-11-27T13:24:16.927259,repo_395,release,Java,ubuntu-latest,On-Prem,test,MEDIUM,28.08,29034,1,RuntimeProfileError,application started with production profile during tests,environment setup,.github/workflows/test.yml,"RuntimeProfileError: expected profile test, received production
##[error]Process completed with exit code 1.","2025-11-27T13:24:16Z Post job cleanup started
2025-11-27T13:24:16Z Dependency cache restored
2025-11-27T13:24:16Z ##[group]Run mvn test
2025-11-27T13:24:16Z RuntimeProfileError: expected profile test, received production
2025-11-27T13:24:16Z ##[error]Process completed with exit code 1.
2025-11-27T13:24:16Z Post job cleanup.
2025-11-27T13:24:16Z attempt=1; elapsed_ms=10306; worker_slot=18","stage=test | language=Java | error_type=RuntimeProfileError | error_message=application started with production profile during tests | stack_trace=environment setup | failed_file=.github/workflows/test.yml | log=RuntimeProfileError: expected profile test, received production
##[error]Process completed with exit code 1. | context=attempt=1; elapsed_ms=10306; worker_slot=18",workflow_environment_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=1; elapsed_ms=10306; worker_slot=18
GH_RCA_02347,train,rate_limit,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_3115,run_23368,2026-01-29T04:33:16.927259,repo_75,release,Go,macos-latest,AWS,build,HIGH,90.24,27439,1,HTTP429Error,429 Too Many Requests,request to registry.partner.local,N/A,"HTTPError: 429 Too Many Requests
Retry-After: 60
##[error]Process completed with exit code 1.","2026-01-29T04:33:16Z Post job cleanup started
2026-01-29T04:33:16Z Dependency cache restored
2026-01-29T04:33:16Z ##[group]Run npm test
2026-01-29T04:33:16Z HTTPError: 429 Too Many Requests
2026-01-29T04:33:16Z Retry-After: 60
2026-01-29T04:33:16Z ##[error]Process completed with exit code 1.
2026-01-29T04:33:16Z Post job cleanup.
2026-01-29T04:33:16Z attempt=1; elapsed_ms=10323; worker_slot=19","stage=build | language=Go | error_type=HTTP429Error | error_message=429 Too Many Requests | stack_trace=request to registry.partner.local | failed_file=N/A | log=HTTPError: 429 Too Many Requests
Retry-After: 60
##[error]Process completed with exit code 1. | context=attempt=1; elapsed_ms=10323; worker_slot=19",network_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=1; elapsed_ms=10323; worker_slot=19
GH_RCA_08053,train,merge_conflict,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_2417,run_24503,2026-01-22T21:01:16.927259,repo_305,main,Python,macos-latest,On-Prem,build,HIGH,21.24,16043,0,MergeConflictError,automatic merge failed due to conflicts,checkout merge,N/A,"CONFLICT (content): Merge conflict in generated file
##[error]Process completed with exit code 1.","2026-01-22T21:01:16Z Post job cleanup started
2026-01-22T21:01:16Z Using hosted Ubuntu runner
2026-01-22T21:01:16Z ##[group]Run kubectl rollout status
2026-01-22T21:01:16Z CONFLICT (content): Merge conflict in generated file
2026-01-22T21:01:16Z ##[error]Process completed with exit code 1.
2026-01-22T21:01:16Z Post job cleanup.
2026-01-22T21:01:16Z attempt=0; elapsed_ms=10340; worker_slot=20","stage=build | language=Python | error_type=MergeConflictError | error_message=automatic merge failed due to conflicts | stack_trace=checkout merge | failed_file=N/A | log=CONFLICT (content): Merge conflict in generated file
##[error]Process completed with exit code 1. | context=attempt=0; elapsed_ms=10340; worker_slot=20",other_or_unknown,yes,curated diagnostic log with real Kaggle metadata,attempt=0; elapsed_ms=10340; worker_slot=20
GH_RCA_06694,train,artifact_missing,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_4875,run_4608,2026-01-25T19:12:16.927259,repo_440,feature-x,Go,macos-latest,GCP,deploy,LOW,30.39,16762,4,ArtifactNotFoundError,deployment package was not found,artifact download,deploy/release.yml,"Unable to find artifact named build-package
##[error]Process completed with exit code 1.","2026-01-25T19:12:16Z ##[group]Run actions/checkout@v4
2026-01-25T19:12:16Z Runner image initialized
2026-01-25T19:12:16Z ##[group]Run cargo test
2026-01-25T19:12:16Z Unable to find artifact named build-package
2026-01-25T19:12:16Z ##[error]Process completed with exit code 1.
2026-01-25T19:12:16Z Post job cleanup.
2026-01-25T19:12:16Z attempt=4; elapsed_ms=10357; worker_slot=21","stage=deploy | language=Go | error_type=ArtifactNotFoundError | error_message=deployment package was not found | stack_trace=artifact download | failed_file=deploy/release.yml | log=Unable to find artifact named build-package
##[error]Process completed with exit code 1. | context=attempt=4; elapsed_ms=10357; worker_slot=21",deployment_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=4; elapsed_ms=10357; worker_slot=21
GH_RCA_00116,train,index_error,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_7812,run_9095,2025-09-10T04:10:16.927259,repo_199,develop,C++,ubuntu-latest,Azure,test,LOW,59.62,14621,5,IndexError,list index out of range,src/user_service.cpp:17,src/user_service.cpp,"src/user_service.cpp:17
return items[0]
IndexError: list index out of range
##[error]Process completed with exit code 1.","2025-09-10T04:10:16Z Artifact upload skipped after failure
2025-09-10T04:10:16Z Post job cleanup started
2025-09-10T04:10:16Z ##[group]Run pytest
2025-09-10T04:10:16Z src/user_service.cpp:17
2025-09-10T04:10:16Z return items[0]
2025-09-10T04:10:16Z IndexError: list index out of range
2025-09-10T04:10:16Z ##[error]Process completed with exit code 1.
2025-09-10T04:10:16Z Post job cleanup.
2025-09-10T04:10:16Z attempt=5; elapsed_ms=10374; worker_slot=22","stage=test | language=C++ | error_type=IndexError | error_message=list index out of range | stack_trace=src/user_service.cpp:17 | failed_file=src/user_service.cpp | log=src/user_service.cpp:17
return items[0]
IndexError: list index out of range
##[error]Process completed with exit code 1. | context=attempt=5; elapsed_ms=10374; worker_slot=22",application_defect,yes,curated diagnostic log with real Kaggle metadata,attempt=5; elapsed_ms=10374; worker_slot=22
GH_RCA_06806,validation,ingress_missing,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_4541,run_38421,2026-01-23T15:03:16.927259,repo_146,develop,NodeJS,ubuntu-latest,On-Prem,deploy,LOW,28.1,29081,1,IngressError,service has no valid ingress route,route check,deploy/kubernetes/ingress.yaml,"404 from ingress controller
no matching route
##[error]Process completed with exit code 1.","2026-01-23T15:03:16Z Previous step completed successfully
2026-01-23T15:03:16Z Post job cleanup started
2026-01-23T15:03:16Z ##[group]Run pytest
2026-01-23T15:03:16Z 404 from ingress controller
2026-01-23T15:03:16Z no matching route
2026-01-23T15:03:16Z ##[error]Process completed with exit code 1.
2026-01-23T15:03:16Z Post job cleanup.
2026-01-23T15:03:16Z attempt=1; elapsed_ms=10391; worker_slot=23","stage=deploy | language=NodeJS | error_type=IngressError | error_message=service has no valid ingress route | stack_trace=route check | failed_file=deploy/kubernetes/ingress.yaml | log=404 from ingress controller
no matching route
##[error]Process completed with exit code 1. | context=attempt=1; elapsed_ms=10391; worker_slot=23",deployment_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=1; elapsed_ms=10391; worker_slot=23
