test_id,test_name,pipeline,browser,os,language,cloud_provider,branch,root_cause,failure_stage,failure_type,error_message,stack_trace,severity,old_value,new_value,retry_count,test_duration_sec,cpu_usage_pct,memory_usage_mb,is_flaky_test,recommendation,developer_alert,timestamp
SEL-2132,Report Export Test,CircleCI,Chrome,windows-latest,C#,Azure,main,synchronization_issue,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,ElementClickInterceptedException at ReportExportTest.clickButton() — overlay not dismissed,HIGH,"WebDriverWait(driver, 5)","WebDriverWait(driver, 15).until(EC.visibility_of_element_located(locator))",2,137,34.48,959,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-11-19T00:00:00
SEL-3066,File Upload Test,Azure DevOps,Chrome,ubuntu-latest,Java,On-Prem,release,test_data_issue,test,Test Failure,AssertionError: Expected status 'ACTIVE' but found 'INACTIVE' — stale test fixture,DataNotFoundException at TestDataHelper.fetchRecord(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,0,9,20.91,663,True,Use dynamic test data generation instead of hardcoded values,True,2025-11-01T00:00:00
SEL-1132,Multi-Tab Navigation Test,CircleCI,Safari,ubuntu-latest,Java,On-Prem,feature-x,locator_issue,test,Test Failure,selenium.common.exceptions.NoSuchElementException: Message: no such element: //input[@name='username'],StaleElementReferenceException at Multi-TabNavigationTest.clickElement(),HIGH,//input[@name='username'],[data-testid='register-link'],2,102,25.64,3827,False,Locator changed after UI refactor. Use '[data-testid='register-link']' instead of '//input[@name='username']',False,2025-01-09T00:00:00
SEL-6087,Login Test,CircleCI,Firefox,windows-latest,Python,On-Prem,release,synchronization_issue,test,Test Failure,AssertionError: Form submission succeeded but no confirmation email was sent,AssertionError at LoginTest.verifyExpectedBehavior() — application regression,HIGH,N/A,N/A,1,85,52.58,892,False,This is an application-level defect. Raise a bug report for the development team,True,2025-09-17T00:00:00
SEL-3033,Product Search Test,Jenkins,Safari,windows-latest,C#,Azure,feature-x,test_data_issue,test,Test Failure,AssertionError: Expected user role 'admin' but got 'viewer' — DB seed data incorrect,NullPointerException at ProductSearchTest.getTestRecord(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,0,41,39.1,2007,True,Re-seed test database with fresh test data before execution,True,2025-07-30T00:00:00
SEL-1152,Registration Test,GitLab CI,Edge,ubuntu-latest,C#,Azure,release,locator_issue,test,Test Failure,org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {#email-field},"NoSuchElementException at RegistrationTest.findElement(By.cssSelector(""#email-field""))",MEDIUM,#email-field,//input[@data-testid='username'],0,55,36.61,3052,False,Replace brittle CSS selector '#email-field' with data attribute '//input[@data-testid='username']',False,2025-08-14T00:00:00
SEL-2054,Multi-Tab Navigation Test,GitHub Actions,Edge,ubuntu-latest,C#,Azure,develop,synchronization_issue,test,Timeout,selenium.common.exceptions.TimeoutException: Message: Timeout waiting for element to be clickable,TimeoutException at Multi-TabNavigationTest.waitForElement() — implicit wait too short,HIGH,time.sleep(2),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",2,88,17.25,2835,True,"Replace 'time.sleep(2)' with explicit wait: WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",False,2025-10-09T00:00:00
SEL-2014,Checkout Test,GitLab CI,Firefox,windows-latest,JavaScript,On-Prem,hotfix,synchronization_issue,test,Timeout,TimeoutException: Timed out after 10000ms while waiting for element '.modal-overlay' to disappear,TimeoutException at WebDriverWait.until() — element not ready within timeout period,MEDIUM,"WebDriverWait(driver, 5)","WebDriverWait(driver, 15).until(EC.visibility_of_element_located(locator))",1,153,24.9,2945,True,Increase timeout and add explicit visibility check before interaction,False,2025-04-01T00:00:00
SEL-5096,Report Export Test,GitLab CI,Firefox,ubuntu-latest,JavaScript,GCP,release,environment_failure,test,Network Error,ReadTimeout: HTTPSConnectionPool read operation timed out after 30 seconds,ConnectionError at ReportExportTest.callExternalAPI(),MEDIUM,N/A,N/A,4,96,54.55,729,True,Use mock API responses for test isolation instead of live API calls,True,2025-12-08T00:00:00
SEL-5073,Registration Test,Jenkins,Firefox,windows-latest,Java,GCP,main,network_api_error,test,Network Error,Failed to complete the action on the web application.,Exception at generic_handler.py,MEDIUM,N/A,N/A,4,63,39.24,1492,True,Add retry logic with exponential backoff for transient network failures,True,2025-12-03T00:00:00
SEL-2103,Login Test,Jenkins,Safari,macos-latest,Python,GCP,hotfix,synchronization_issue,test,Timeout,TimeoutException: Timed out after 10000ms while waiting for element '.modal-overlay' to disappear,ElementClickInterceptedException at LoginTest.clickButton() — overlay not dismissed,MEDIUM,driver.implicitly_wait(3),"WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",3,300,11.63,800,True,Increase timeout and add explicit visibility check before interaction,False,2025-02-09T00:00:00
SEL-4006,Cart Validation Test,Jenkins,Edge,ubuntu-latest,Python,AWS,feature-x,environment_failure,build,Configuration Error,EnvironmentError: Selenium Grid node is unavailable — no free nodes in the hub,ConnectionRefusedError at CartValidationTest.setupEnvironment(),CRITICAL,N/A,N/A,3,21,74.65,3990,True,Update ChromeDriver version to match installed Chrome browser version,True,2025-05-03T00:00:00
SEL-2144,Multi-Tab Navigation Test,Azure DevOps,Firefox,ubuntu-latest,C#,AWS,release,synchronization_issue,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,TimeoutException at WebDriverWait.until() — element not ready within timeout period,HIGH,time.sleep(2),"WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",4,148,47.9,1100,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-05-13T00:00:00
SEL-5062,Filter Test,GitHub Actions,Chrome,ubuntu-latest,C#,On-Prem,main,network_api_error,test,Network Error,requests.exceptions.ConnectionError: HTTPSConnectionPool — Max retries exceeded for URL,AssertionError at APIHelper.assertResponseStatus() — unexpected status code,HIGH,N/A,N/A,2,39,48.87,661,True,Verify API service health before test execution using smoke tests,True,2025-07-11T00:00:00
SEL-2070,Order History Test,GitHub Actions,Safari,macos-latest,C#,Azure,feature-x,synchronization_issue,test,Timeout,selenium.common.exceptions.ElementNotVisibleException: element is not visible at the time of interaction,TimeoutException at WebDriverWait.until() — element not ready within timeout period,HIGH,time.sleep(1),"WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",3,187,33.11,2142,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-03-12T00:00:00
SEL-3012,Order History Test,GitLab CI,Edge,windows-latest,JavaScript,AWS,feature-x,test_data_issue,test,Test Failure,AssertionError: Expected status 'ACTIVE' but found 'INACTIVE' — stale test fixture,DataNotFoundException at TestDataHelper.fetchRecord(),MEDIUM,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,54,30.26,751,False,Use dynamic test data generation instead of hardcoded values,True,2025-09-24T00:00:00
SEL-1032,Password Reset Test,Jenkins,Safari,windows-latest,JavaScript,On-Prem,release,synchronization_issue,test,Test Failure,org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {//div[@class='dropdown']/a},"NoSuchElementException at PasswordResetTest.findElement(By.cssSelector(""//div[@class='dropdown']/a""))",MEDIUM,//div[@class='dropdown']/a,[data-cy='checkout-form'],1,120,58.49,3360,True,Locator changed after UI refactor. Use '[data-cy='checkout-form']' instead of '//div[@class='dropdown']/a',False,2025-07-14T00:00:00
SEL-1137,Password Reset Test,Jenkins,Edge,windows-latest,Python,AWS,develop,locator_issue,test,Test Failure,InvalidSelectorException: invalid selector: #submit-btn is not a valid CSS selector,ElementNotInteractableException at PasswordResetTest.sendKeys(),HIGH,#submit-btn,[data-testid='modal-close'],1,31,63.47,1875,False,Update locator from '#submit-btn' to '[data-testid='modal-close']' using stable data-testid attribute,False,2025-04-19T00:00:00
SEL-5058,Profile Update Test,CircleCI,Safari,windows-latest,Java,AWS,feature-x,network_api_error,test,Network Error,ReadTimeout: HTTPSConnectionPool read operation timed out after 30 seconds,ConnectionError at ProfileUpdateTest.callExternalAPI(),HIGH,N/A,N/A,2,178,27.11,1833,True,Verify API service health before test execution using smoke tests,True,2025-01-22T00:00:00
SEL-1052,File Upload Test,CircleCI,Chrome,ubuntu-latest,Java,Azure,feature-x,locator_issue,test,Test Failure,InvalidSelectorException: invalid selector: //span[text()='Proceed'] is not a valid CSS selector,"NoSuchElementException at FileUploadTest.findElement(By.cssSelector(""//span[text()='Proceed']""))",MEDIUM,//span[text()='Proceed'],[data-testid='email-input'],0,33,69.61,976,False,Update locator from '//span[text()='Proceed']' to '[data-testid='email-input']' using stable data-testid attribute,False,2025-11-28T00:00:00
SEL-5037,Order History Test,CircleCI,Safari,ubuntu-latest,Python,Azure,main,network_api_error,test,Network Error,urllib.error.URLError: <urlopen error [Errno 111] Connection refused> for test API endpoint,ConnectionError at OrderHistoryTest.callExternalAPI(),MEDIUM,N/A,N/A,2,177,25.65,646,True,Add retry logic with exponential backoff for transient network failures,True,2025-05-22T00:00:00
SEL-6019,API Response Test,Azure DevOps,Safari,windows-latest,Java,On-Prem,hotfix,application_defect,test,Test Failure,AssertionError: Exported CSV file has 0 rows — data export functionality broken,AssertionError at APIResponseTest.verifyExpectedBehavior() — application regression,HIGH,N/A,N/A,1,13,44.52,1139,False,Forward to developer: application behaviour does not match expected specification,True,2025-04-01T00:00:00
SEL-1141,API Response Test,CircleCI,Firefox,macos-latest,JavaScript,Azure,develop,environment_failure,test,Test Failure,InvalidSelectorException: invalid selector: //div[@class='dropdown']/a is not a valid CSS selector,StaleElementReferenceException at APIResponseTest.clickElement(),HIGH,//div[@class='dropdown']/a,[data-testid='register-link'],2,87,67.86,2658,True,Update locator from '//div[@class='dropdown']/a' to '[data-testid='register-link']' using stable data-testid attribute,False,2025-12-09T00:00:00
SEL-3071,Cart Validation Test,CircleCI,Safari,ubuntu-latest,JavaScript,On-Prem,release,test_data_issue,test,Test Failure,SQLException: Test user 'qa_user_001' does not exist in test environment database,AssertionError at CartValidationTest.validateExpectedResult(),MEDIUM,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,35,26.87,576,False,Re-seed test database with fresh test data before execution,True,2025-07-20T00:00:00
SEL-5055,Password Reset Test,Jenkins,Chrome,ubuntu-latest,Java,AWS,hotfix,synchronization_issue,test,Network Error,Test runner encountered an unhandled exception.,Exception at generic_handler.py,MEDIUM,N/A,N/A,2,151,15.99,1547,True,Verify API service health before test execution using smoke tests,True,2025-07-20T00:00:00
SEL-6125,Cart Validation Test,Jenkins,Safari,macos-latest,Python,GCP,main,application_defect,test,Test Failure,AssertionError: Expected button 'Add to Cart' to be enabled but it is disabled — regression introduced,AssertionError at CartValidationTest.validatePageContent() — incorrect UI state,CRITICAL,N/A,N/A,1,58,47.86,1079,False,Test correctly identified a regression. Do NOT auto-heal — requires code fix,True,2025-04-04T00:00:00
SEL-2078,Password Reset Test,GitHub Actions,Firefox,windows-latest,Java,Azure,develop,synchronization_issue,test,Timeout,An unexpected error occurred during test execution.,Exception at generic_handler.py,HIGH,"WebDriverWait(driver, 5)","WebDriverWait(driver, 20).until(EC.element_to_be_clickable(locator))",2,84,14.8,833,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-12-06T00:00:00
SEL-6035,Multi-Tab Navigation Test,Jenkins,Edge,windows-latest,Python,Azure,hotfix,application_defect,test,Test Failure,AssertionError: Page title mismatch — Expected 'Dashboard' but found '404 Page Not Found',AssertionError at Multi-TabNavigationTest.verifyExpectedBehavior() — application regression,CRITICAL,N/A,N/A,1,53,40.06,518,False,Forward to developer: application behaviour does not match expected specification,True,2025-11-03T00:00:00
SEL-1108,Order History Test,GitLab CI,Chrome,ubuntu-latest,Python,AWS,hotfix,locator_issue,test,Test Failure,org.openqa.selenium.StaleElementReferenceException: stale element reference: element is not attached to the page document; locator=#search-input,ElementNotInteractableException at OrderHistoryTest.sendKeys(),HIGH,#search-input,[data-qa='dropdown-toggle'],2,58,50.91,636,False,Locator changed after UI refactor. Use '[data-qa='dropdown-toggle']' instead of '#search-input',False,2025-10-07T00:00:00
SEL-2074,User Role Test,CircleCI,Firefox,macos-latest,Python,AWS,main,synchronization_issue,test,Timeout,selenium.common.exceptions.ElementNotVisibleException: element is not visible at the time of interaction,ElementClickInterceptedException at UserRoleTest.clickButton() — overlay not dismissed,HIGH,time.sleep(1),"WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",3,171,19.05,1308,True,Increase timeout and add explicit visibility check before interaction,False,2025-07-26T00:00:00
SEL-2105,File Upload Test,Jenkins,Firefox,ubuntu-latest,C#,GCP,develop,synchronization_issue,test,Timeout,selenium.common.exceptions.ElementNotVisibleException: element is not visible at the time of interaction,TimeoutException at WebDriverWait.until() — element not ready within timeout period,HIGH,driver.implicitly_wait(2),"WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",3,191,32.0,1841,True,Increase timeout and add explicit visibility check before interaction,False,2025-07-31T00:00:00
SEL-2096,Checkout Test,Azure DevOps,Chrome,windows-latest,C#,GCP,develop,synchronization_issue,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,TimeoutException at CheckoutTest.waitForElement() — implicit wait too short,MEDIUM,driver.implicitly_wait(2),"WebDriverWait(driver, 12).until(EC.invisibility_of_element_located(loader))",1,150,35.32,1841,True,"Replace 'driver.implicitly_wait(2)' with explicit wait: WebDriverWait(driver, 12).until(EC.invisibility_of_element_located(loader))",False,2025-03-27T00:00:00
SEL-3007,Payment Test,Jenkins,Safari,macos-latest,Java,AWS,feature-x,test_data_issue,test,Test Failure,SQLException: Test user 'qa_user_001' does not exist in test environment database,DataNotFoundException at TestDataHelper.fetchRecord(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,36,12.48,1291,True,Validate test data availability in @BeforeEach setup method,True,2025-05-10T00:00:00
SEL-2048,Dashboard Load Test,GitLab CI,Firefox,macos-latest,C#,AWS,main,synchronization_issue,test,Timeout,ElementClickInterceptedException: element click intercepted: another element obscures the target,ElementClickInterceptedException at DashboardLoadTest.clickButton() — overlay not dismissed,MEDIUM,time.sleep(1),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",2,50,37.3,1826,True,Increase timeout and add explicit visibility check before interaction,False,2025-02-28T00:00:00
SEL-1116,Login Test,GitLab CI,Edge,macos-latest,Python,On-Prem,hotfix,locator_issue,test,Test Failure,org.openqa.selenium.StaleElementReferenceException: stale element reference: element is not attached to the page document; locator=#email-field,ElementNotInteractableException at LoginTest.sendKeys(),HIGH,#email-field,//input[@data-testid='username'],2,65,33.28,3197,True,Locator changed after UI refactor. Use '//input[@data-testid='username']' instead of '#email-field',False,2025-01-27T00:00:00
SEL-1184,Registration Test,CircleCI,Edge,windows-latest,JavaScript,AWS,hotfix,locator_issue,test,Test Failure,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,MEDIUM,#login-btn,[data-testid='add-to-cart'],0,42,48.19,1756,True,Replace brittle CSS selector '#login-btn' with data attribute '[data-testid='add-to-cart']',False,2025-07-08T00:00:00
SEL-4046,Logout Test,CircleCI,Chrome,macos-latest,Python,AWS,release,synchronization_issue,test,Configuration Error,Test runner encountered an unhandled exception.,Exception at generic_handler.py,HIGH,N/A,N/A,1,6,76.45,3119,False,Update ChromeDriver version to match installed Chrome browser version,True,2025-12-15T00:00:00
SEL-2065,Order History Test,GitLab CI,Chrome,ubuntu-latest,C#,On-Prem,release,test_data_issue,test,Timeout,selenium.common.exceptions.TimeoutException: Message: Timeout waiting for element to be clickable,TimeoutException at OrderHistoryTest.waitForElement() — implicit wait too short,HIGH,time.sleep(0.5),"WebDriverWait(driver, 15).until(EC.visibility_of_element_located(locator))",2,123,34.93,2604,True,Increase timeout and add explicit visibility check before interaction,False,2025-03-27T00:00:00
SEL-4117,Product Search Test,CircleCI,Chrome,macos-latest,C#,GCP,main,environment_failure,deploy,Configuration Error,SSLError: SSL certificate verification failed for test environment endpoint,EnvironmentError at TestBase.getDriver() — RemoteWebDriver unavailable,HIGH,N/A,N/A,4,15,61.18,5992,True,Restart test environment services and verify all dependencies are running,True,2025-05-06T00:00:00
SEL-2130,File Upload Test,Jenkins,Chrome,ubuntu-latest,JavaScript,Azure,main,synchronization_issue,test,Timeout,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,MEDIUM,"WebDriverWait(driver, 5)","WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",3,48,15.81,644,True,Use fluent wait to handle dynamic page loading instead of fixed sleep,False,2025-10-23T00:00:00
SEL-6010,API Response Test,Jenkins,Edge,windows-latest,Java,Azure,release,application_defect,test,Test Failure,AssertionError: Expected button 'Add to Cart' to be enabled but it is disabled — regression introduced,AssertionError at APIResponseTest.verifyExpectedBehavior() — application regression,CRITICAL,N/A,N/A,0,35,47.76,2714,False,Test correctly identified a regression. Do NOT auto-heal — requires code fix,True,2025-06-19T00:00:00
SEL-3083,Profile Update Test,Azure DevOps,Chrome,macos-latest,JavaScript,On-Prem,main,test_data_issue,test,Test Failure,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,26,34.97,1765,True,Use dynamic test data generation instead of hardcoded values,True,2025-08-05T00:00:00
SEL-1168,Notification Test,Jenkins,Firefox,windows-latest,Python,GCP,develop,locator_issue,test,Test Failure,selenium.common.exceptions.NoSuchElementException: Message: no such element: #email-field,"NoSuchElementException at NotificationTest.findElement(By.cssSelector(""#email-field""))",HIGH,#email-field,[data-testid='confirm-order'],2,46,61.42,3630,False,Replace brittle CSS selector '#email-field' with data attribute '[data-testid='confirm-order']',False,2025-03-14T00:00:00
SEL-4098,Profile Update Test,GitLab CI,Edge,windows-latest,JavaScript,On-Prem,develop,application_defect,build,Configuration Error,WebDriverException: Chrome browser failed to launch — ChromeDriver version mismatch,ConnectionRefusedError at ProfileUpdateTest.setupEnvironment(),HIGH,N/A,N/A,1,25,68.27,6867,False,Restart test environment services and verify all dependencies are running,True,2025-08-09T00:00:00
SEL-5083,Product Search Test,GitHub Actions,Firefox,ubuntu-latest,Python,Azure,main,network_api_error,test,Network Error,The operation timed out after 60 seconds.,Exception at generic_handler.py,MEDIUM,N/A,N/A,5,178,27.69,1645,True,Use mock API responses for test isolation instead of live API calls,True,2025-02-01T00:00:00
SEL-1095,Login Test,Azure DevOps,Firefox,macos-latest,Java,GCP,release,locator_issue,test,Test Failure,An unexpected error occurred during test execution.,Exception at generic_handler.py,MEDIUM,#search-input,[data-testid='modal-close'],0,78,40.83,3233,True,Locator changed after UI refactor. Use '[data-testid='modal-close']' instead of '#search-input',False,2025-07-04T00:00:00
SEL-4008,Multi-Tab Navigation Test,Azure DevOps,Chrome,ubuntu-latest,Java,GCP,hotfix,environment_failure,build,Resource Exhaustion,ConnectionRefusedError: Test environment database is not reachable at localhost:5432,EnvironmentError at TestBase.getDriver() — RemoteWebDriver unavailable,HIGH,N/A,N/A,2,28,81.08,4377,True,Verify test environment Docker containers are healthy before test run,True,2025-10-12T00:00:00
SEL-6049,API Response Test,Azure DevOps,Edge,ubuntu-latest,Java,GCP,feature-x,application_defect,test,Test Failure,AssertionError: Expected user balance 1000.00 but found 850.00 — calculation bug,AssertionError at APIResponseTest.validatePageContent() — incorrect UI state,CRITICAL,N/A,N/A,1,13,26.24,2907,False,This is an application-level defect. Raise a bug report for the development team,True,2025-11-16T00:00:00
SEL-3013,Dashboard Load Test,GitHub Actions,Edge,macos-latest,Python,AWS,main,test_data_issue,test,Test Failure,AssertionError: Expected price 250.00 but found 199.00 — test data mismatch,NullPointerException at DashboardLoadTest.getTestRecord(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,0,48,23.38,705,False,Validate test data availability in @BeforeEach setup method,True,2025-05-09T00:00:00
SEL-4097,Password Reset Test,GitHub Actions,Safari,ubuntu-latest,Java,AWS,main,environment_failure,build,Resource Exhaustion,DockerContainerError: Test container exited unexpectedly with code 137 (OOM Killed),WebDriverException at WebDriver.initialize() — driver binary not found,HIGH,N/A,N/A,2,26,76.62,3502,False,Restart test environment services and verify all dependencies are running,True,2025-06-05T00:00:00
SEL-1123,Cart Validation Test,CircleCI,Firefox,ubuntu-latest,C#,On-Prem,develop,locator_issue,test,Test Failure,org.openqa.selenium.StaleElementReferenceException: stale element reference: element is not attached to the page document; locator=//span[text()='Proceed'],"NoSuchElementException at CartValidationTest.findElement(By.cssSelector(""//span[text()='Proceed']""))",HIGH,//span[text()='Proceed'],"//button[contains(@data-testid,'proceed')]",1,77,50.14,1884,False,"Replace brittle CSS selector '//span[text()='Proceed']' with data attribute '//button[contains(@data-testid,'proceed')]'",False,2025-11-25T00:00:00
SEL-6033,Session Timeout Test,Jenkins,Firefox,ubuntu-latest,JavaScript,AWS,release,application_defect,test,Test Failure,AssertionError: Page title mismatch — Expected 'Dashboard' but found '404 Page Not Found',AssertionError at SessionTimeoutTest.validatePageContent() — incorrect UI state,HIGH,N/A,N/A,1,80,47.47,1382,False,Test correctly identified a regression. Do NOT auto-heal — requires code fix,True,2025-12-09T00:00:00
SEL-6057,Session Timeout Test,Azure DevOps,Safari,windows-latest,Python,On-Prem,feature-x,application_defect,test,Test Failure,AssertionError: Password reset link expired immediately — token TTL bug,AssertionError at SessionTimeoutTest.assertBusinessRule() — logic defect detected,HIGH,N/A,N/A,0,66,39.23,756,False,Test correctly identified a regression. Do NOT auto-heal — requires code fix,True,2025-07-23T00:00:00
SEL-4082,Registration Test,GitLab CI,Safari,macos-latest,Java,Azure,main,environment_failure,deploy,Dependency Error,EnvironmentError: Selenium Grid node is unavailable — no free nodes in the hub,EnvironmentError at TestBase.getDriver() — RemoteWebDriver unavailable,HIGH,N/A,N/A,3,37,83.59,6438,True,Check Selenium Grid hub availability and ensure test node is registered,True,2025-08-11T00:00:00
SEL-3015,Cart Validation Test,GitLab CI,Edge,windows-latest,Python,On-Prem,feature-x,test_data_issue,test,Test Failure,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,MEDIUM,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,15,33.42,823,True,"Use test data factories to ensure isolated, reproducible test state",True,2025-07-18T00:00:00
SEL-4076,Profile Update Test,GitHub Actions,Safari,windows-latest,JavaScript,Azure,release,environment_failure,deploy,Dependency Error,SSLError: SSL certificate verification failed for test environment endpoint,ConnectionRefusedError at ProfileUpdateTest.setupEnvironment(),CRITICAL,N/A,N/A,4,22,84.66,6646,False,Restart test environment services and verify all dependencies are running,True,2025-03-03T00:00:00
SEL-1030,Profile Update Test,CircleCI,Firefox,windows-latest,JavaScript,On-Prem,hotfix,locator_issue,test,Test Failure,InvalidSelectorException: invalid selector: //button[@id='pay'] is not a valid CSS selector,StaleElementReferenceException at ProfileUpdateTest.clickElement(),MEDIUM,//button[@id='pay'],"//button[contains(@data-testid,'proceed')]",0,100,63.07,2355,False,"Update locator from '//button[@id='pay']' to '//button[contains(@data-testid,'proceed')]' using stable data-testid attribute",False,2025-11-23T00:00:00
