failure_id,ci_tool,language,failure_stage,failure_type,error_type,error_message,stack_trace_summary,log_excerpt,model_input_text,is_flaky_test,root_cause_label
RCA_00574,GitLab CI,Java,build,Test Failure,TimeoutError,TimeoutError: waiting for element '#checkout-confirm' exceeded 10 seconds,src/test/java/com/demo/UserServiceTest.java line 5,FAILED src/test/java/com/demo/UserServiceTest.java::test_process_order - UI locator or wait condition is unstable,build | Test Failure | TimeoutError | TimeoutError: waiting for element '#checkout-confirm' exceeded 10 seconds | src/test/java/com/demo/UserServiceTest.java line 5 | FAILED src/test/java/com/demo/UserServiceTest.java::test_process_order - UI locator or wait condition is unstable,TRUE,application_defect
RCA_00329,GitLab CI,Java,build,Network Error,SyntaxError,SyntaxError: invalid syntax near 'return',src/main/java/com/demo/PaymentService.java line 133,ERROR collecting src/test/java/com/demo/OrderServiceTest.java::test_deploy_health - syntax error in source file,build | Network Error | SyntaxError | SyntaxError: invalid syntax near 'return' | src/main/java/com/demo/PaymentService.java line 133 | ERROR collecting src/test/java/com/demo/OrderServiceTest.java::test_deploy_health - syntax error in source file,FALSE,application_defect
RCA_00609,CircleCI,Java,deploy,Dependency Error,ImagePullBackOff,ImagePullBackOff: failed to pull image 'ghcr.io/org/payment-service:sha-1234',kubernetes/deploy.yaml line 12,Deployment failed because container image could not be pulled,deploy | Dependency Error | ImagePullBackOff | ImagePullBackOff: failed to pull image 'ghcr.io/org/payment-service:sha-1234' | kubernetes/deploy.yaml line 12 | Deployment failed because container image could not be pulled,FALSE,deployment_issue
RCA_00937,CircleCI,C++,test,Timeout,TimeoutError,TimeoutError: waiting for element '.user-row' exceeded 10 seconds,tests/test_order_service.cpp line 29,FAILED tests/test_order_service.cpp::test_api_response - UI locator or wait condition is unstable,test | Timeout | TimeoutError | TimeoutError: waiting for element '.user-row' exceeded 10 seconds | tests/test_order_service.cpp line 29 | FAILED tests/test_order_service.cpp::test_api_response - UI locator or wait condition is unstable,FALSE,test_script_issue
RCA_00974,GitLab CI,Go,build,Network Error,ModuleNotFoundError,ModuleNotFoundError: No module named 'pytest',internal/service/order_service_test.go line 34,ImportError while importing test module because dependency pytest is missing,build | Network Error | ModuleNotFoundError | ModuleNotFoundError: No module named 'pytest' | internal/service/order_service_test.go line 34 | ImportError while importing test module because dependency pytest is missing,FALSE,dependency_issue
RCA_01102,Azure DevOps,Python,test,Test Failure,NameError,NameError: name 'total_amunt' is not defined,app/config.py line 132 in create_user,FAILED tests/test_order_service.py::test_process_order - undefined variable raised from application code,test | Test Failure | NameError | NameError: name 'total_amunt' is not defined | app/config.py line 132 in create_user | FAILED tests/test_order_service.py::test_process_order - undefined variable raised from application code,FALSE,application_defect
RCA_01030,Azure DevOps,Python,test,Test Failure,AssertionError,AssertionError: expected status 200 but got 500,app/payment_service.py line 93 in process_order,FAILED tests/test_calculator.py::test_apply_discount - application returned internal server error,test | Test Failure | AssertionError | AssertionError: expected status 200 but got 500 | app/payment_service.py line 93 in process_order | FAILED tests/test_calculator.py::test_apply_discount - application returned internal server error,TRUE,application_defect
RCA_00435,Jenkins,Go,deploy,Network Error,FileNotFoundError,FileNotFoundError: config/test_config.json not found,app/config.py line 89,Configuration file path does not exist in CI environment,deploy | Network Error | FileNotFoundError | FileNotFoundError: config/test_config.json not found | app/config.py line 89 | Configuration file path does not exist in CI environment,FALSE,deployment_issue
RCA_00819,GitHub Actions,C++,deploy,Configuration Error,ImportError,ImportError: cannot import name 'get_user_profiles' from application module,tests/test_user_service.cpp line 42,ERROR collecting tests/test_user_service.cpp::test_apply_discount - test imports old function name,deploy | Configuration Error | ImportError | ImportError: cannot import name 'get_user_profiles' from application module | tests/test_user_service.cpp line 42 | ERROR collecting tests/test_user_service.cpp::test_apply_discount - test imports old function name,FALSE,test_script_issue
RCA_00128,Jenkins,Java,test,Network Error,AssertionError,AssertionError: assert 180 == 190,src/test/java/com/demo/OrderServiceTest.java line 44,FAILED src/test/java/com/demo/OrderServiceTest.java::test_deploy_health - expected value in test appears outdated | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,test | Network Error | AssertionError | AssertionError: assert 180 == 190 | src/test/java/com/demo/OrderServiceTest.java line 44 | FAILED src/test/java/com/demo/OrderServiceTest.java::test_deploy_health - expected value in test appears outdated | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,TRUE,environment_config_issue
RCA_00051,CircleCI,Python,test,Configuration Error,TimeoutError,Job exceeded maximum execution time of 600 seconds,runner/workflow.py line 8,Workflow timed out during test execution,test | Configuration Error | TimeoutError | Job exceeded maximum execution time of 600 seconds | runner/workflow.py line 8 | Workflow timed out during test execution,FALSE,infrastructure_resource_issue
RCA_00631,Azure DevOps,Go,test,Configuration Error,NameError,NameError: name 'total_amunt' is not defined,internal/service/order_service.go line 28 in get_user_profile,FAILED internal/service/order_service_test.go::test_api_response - undefined variable raised from application code,test | Configuration Error | NameError | NameError: name 'total_amunt' is not defined | internal/service/order_service.go line 28 in get_user_profile | FAILED internal/service/order_service_test.go::test_api_response - undefined variable raised from application code,FALSE,application_defect
RCA_00018,GitHub Actions,Go,deploy,Dependency Error,FixtureError,fixture 'sample_user' not found,internal/service/user_service_test.go line 19,ERROR at setup of internal/service/user_service_test.go::test_apply_discount - missing test fixture,deploy | Dependency Error | FixtureError | fixture 'sample_user' not found | internal/service/user_service_test.go line 19 | ERROR at setup of internal/service/user_service_test.go::test_apply_discount - missing test fixture,FALSE,test_script_issue
RCA_01075,GitHub Actions,Python,build,Dependency Error,AssertionError,AssertionError: expected status 200 but got 500,app/order_service.py line 75 in apply_discount,FAILED tests/test_calculator.py::test_api_response - application returned internal server error,build | Dependency Error | AssertionError | AssertionError: expected status 200 but got 500 | app/order_service.py line 75 in apply_discount | FAILED tests/test_calculator.py::test_api_response - application returned internal server error,TRUE,application_defect
RCA_00190,Azure DevOps,Java,deploy,Deployment Failure,PermissionError,PermissionError: cannot write to reports/output.json,app/report.py line 96,CI runner cannot write to report output directory | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,deploy | Deployment Failure | PermissionError | PermissionError: cannot write to reports/output.json | app/report.py line 96 | CI runner cannot write to report output directory | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,FALSE,deployment_issue
RCA_00535,GitHub Actions,Python,test,Resource Exhaustion,ConnectionTimeout,ConnectionTimeout: request timed out after 30 seconds,external_api_client.py line 127,External service call timed out while running tests/test_payment_service.py::test_calculate_total,test | Resource Exhaustion | ConnectionTimeout | ConnectionTimeout: request timed out after 30 seconds | external_api_client.py line 127 | External service call timed out while running tests/test_payment_service.py::test_calculate_total,TRUE,environment_config_issue
RCA_00119,GitLab CI,Python,deploy,Test Failure,ModuleNotFoundError,ModuleNotFoundError: No module named 'junit',tests/test_calculator.py line 82,ImportError while importing test module because dependency junit is missing,deploy | Test Failure | ModuleNotFoundError | ModuleNotFoundError: No module named 'junit' | tests/test_calculator.py line 82 | ImportError while importing test module because dependency junit is missing,TRUE,application_defect
RCA_01329,GitLab CI,Go,build,Resource Exhaustion,HTTPError,HTTPError: 503 Service Unavailable from upstream service,external_api_client.py line 12,External API returned 503 during internal/service/user_service_test.go::test_process_order | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,build | Resource Exhaustion | HTTPError | HTTPError: 503 Service Unavailable from upstream service | external_api_client.py line 12 | External API returned 503 during internal/service/user_service_test.go::test_process_order | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,TRUE,network_issue
RCA_00785,GitLab CI,Java,deploy,Permission Error,PermissionError,PermissionError: cannot write to reports/output.json,app/report.py line 80,CI runner cannot write to report output directory | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,deploy | Permission Error | PermissionError | PermissionError: cannot write to reports/output.json | app/report.py line 80 | CI runner cannot write to report output directory | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,FALSE,environment_config_issue
RCA_01291,GitHub Actions,NodeJS,test,Network Error,PermissionError,PermissionError: cannot write to reports/output.json,app/report.py line 108,CI runner cannot write to report output directory,test | Network Error | PermissionError | PermissionError: cannot write to reports/output.json | app/report.py line 108 | CI runner cannot write to report output directory,FALSE,environment_config_issue
RCA_00081,Azure DevOps,Go,test,Configuration Error,NameError,NameError: name 'config_pth' is not defined,cmd/api/main.go line 88 in get_user_profile,FAILED internal/service/user_service_test.go::test_calculate_total - undefined variable raised from application code,test | Configuration Error | NameError | NameError: name 'config_pth' is not defined | cmd/api/main.go line 88 in get_user_profile | FAILED internal/service/user_service_test.go::test_calculate_total - undefined variable raised from application code,TRUE,test_script_issue
RCA_00226,CircleCI,Java,build,Resource Exhaustion,SyntaxError,SyntaxError: invalid syntax near 'return',src/main/java/com/demo/UserService.java line 88,ERROR collecting src/test/java/com/demo/UserServiceTest.java::test_payment_validation - syntax error in source file | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,build | Resource Exhaustion | SyntaxError | SyntaxError: invalid syntax near 'return' | src/main/java/com/demo/UserService.java line 88 | ERROR collecting src/test/java/com/demo/UserServiceTest.java::test_payment_validation - syntax error in source file | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,TRUE,test_script_issue
RCA_00918,GitHub Actions,Python,build,Dependency Error,MemoryError,MemoryError: process killed because memory limit was exceeded,runner/executor.py line 14,CI job exceeded memory limit during test execution,build | Dependency Error | MemoryError | MemoryError: process killed because memory limit was exceeded | runner/executor.py line 14 | CI job exceeded memory limit during test execution,TRUE,test_script_issue
RCA_00552,GitLab CI,Rust,test,Permission Error,DependencyResolutionError,Could not resolve dependency 'lodash>=2.0.0',package_manager.py line 102,Dependency resolver failed during install step,test | Permission Error | DependencyResolutionError | Could not resolve dependency 'lodash>=2.0.0' | package_manager.py line 102 | Dependency resolver failed during install step,FALSE,dependency_issue
RCA_01258,Jenkins,Rust,deploy,Permission Error,ModuleNotFoundError,ModuleNotFoundError: No module named 'lodash',tests/user_service_test.rs line 56,ImportError while importing test module because dependency lodash is missing,deploy | Permission Error | ModuleNotFoundError | ModuleNotFoundError: No module named 'lodash' | tests/user_service_test.rs line 56 | ImportError while importing test module because dependency lodash is missing,FALSE,dependency_issue
RCA_01284,Jenkins,NodeJS,deploy,Test Failure,MemoryError,MemoryError: process killed because memory limit was exceeded,runner/executor.py line 39,CI job exceeded memory limit during test execution,deploy | Test Failure | MemoryError | MemoryError: process killed because memory limit was exceeded | runner/executor.py line 39 | CI job exceeded memory limit during test execution,FALSE,infrastructure_resource_issue
RCA_00762,GitLab CI,C++,build,Resource Exhaustion,ImportError,ImportError: cannot import name 'apply_discounts' from application module,tests/test_order_service.cpp line 121,ERROR collecting tests/test_order_service.cpp::test_payment_validation - test imports old function name,build | Resource Exhaustion | ImportError | ImportError: cannot import name 'apply_discounts' from application module | tests/test_order_service.cpp line 121 | ERROR collecting tests/test_order_service.cpp::test_payment_validation - test imports old function name,FALSE,test_script_issue
RCA_00783,GitLab CI,NodeJS,deploy,Timeout,SyntaxError,SyntaxError: invalid syntax near 'return',src/routes/api.js line 58,ERROR collecting tests/orderService.test.js::test_deploy_health - syntax error in source file,deploy | Timeout | SyntaxError | SyntaxError: invalid syntax near 'return' | src/routes/api.js line 58 | ERROR collecting tests/orderService.test.js::test_deploy_health - syntax error in source file,FALSE,application_defect
RCA_00542,GitHub Actions,Go,test,Dependency Error,DependencyResolutionError,Could not resolve dependency 'pytest>=2.0.0',package_manager.py line 120,Dependency resolver failed during install step,test | Dependency Error | DependencyResolutionError | Could not resolve dependency 'pytest>=2.0.0' | package_manager.py line 120 | Dependency resolver failed during install step,FALSE,dependency_issue
RCA_00465,Azure DevOps,Java,test,Test Failure,NameError,NameError: name 'config_pth' is not defined,src/main/java/com/demo/UserService.java line 65 in process_order,FAILED src/test/java/com/demo/OrderServiceTest.java::test_api_response - undefined variable raised from application code,test | Test Failure | NameError | NameError: name 'config_pth' is not defined | src/main/java/com/demo/UserService.java line 65 in process_order | FAILED src/test/java/com/demo/OrderServiceTest.java::test_api_response - undefined variable raised from application code,FALSE,application_defect
RCA_00491,Azure DevOps,C++,build,Configuration Error,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',src/user_service.cpp line 94 in process_order,FAILED tests/test_user_service.cpp::test_payment_validation - type mismatch in business logic,build | Configuration Error | TypeError | TypeError: unsupported operand type(s) for +: 'int' and 'str' | src/user_service.cpp line 94 in process_order | FAILED tests/test_user_service.cpp::test_payment_validation - type mismatch in business logic,TRUE,application_defect
RCA_00065,GitLab CI,Go,build,Network Error,TimeoutError,TimeoutError: waiting for element '#submit-button' exceeded 10 seconds,internal/service/user_service_test.go line 65,FAILED internal/service/user_service_test.go::test_apply_discount - UI locator or wait condition is unstable,build | Network Error | TimeoutError | TimeoutError: waiting for element '#submit-button' exceeded 10 seconds | internal/service/user_service_test.go line 65 | FAILED internal/service/user_service_test.go::test_apply_discount - UI locator or wait condition is unstable,TRUE,test_script_issue
RCA_01135,Azure DevOps,NodeJS,test,Configuration Error,NameError,NameError: name 'respnse' is not defined,src/routes/api.js line 90 in calculate_total,FAILED tests/priceCalculator.test.js::test_payment_validation - undefined variable raised from application code,test | Configuration Error | NameError | NameError: name 'respnse' is not defined | src/routes/api.js line 90 in calculate_total | FAILED tests/priceCalculator.test.js::test_payment_validation - undefined variable raised from application code,TRUE,application_defect
RCA_00378,Azure DevOps,Go,build,Dependency Error,MemoryError,MemoryError: process killed because memory limit was exceeded,runner/executor.py line 111,CI job exceeded memory limit during test execution,build | Dependency Error | MemoryError | MemoryError: process killed because memory limit was exceeded | runner/executor.py line 111 | CI job exceeded memory limit during test execution,FALSE,network_issue
RCA_00344,GitHub Actions,NodeJS,test,Network Error,SecretDetected,Secret scanning detected possible credential in 'src/routes/api.js',security/scanner.py line 77,Secret detected by repository scan policy,test | Network Error | SecretDetected | Secret scanning detected possible credential in 'src/routes/api.js' | security/scanner.py line 77 | Secret detected by repository scan policy,FALSE,security_policy_issue
RCA_00731,Azure DevOps,Python,build,Security Scan Failure,ModuleNotFoundError,ModuleNotFoundError: No module named 'requests',tests/test_order_service.py line 109,ImportError while importing test module because dependency requests is missing,build | Security Scan Failure | ModuleNotFoundError | ModuleNotFoundError: No module named 'requests' | tests/test_order_service.py line 109 | ImportError while importing test module because dependency requests is missing,TRUE,security_policy_issue
RCA_00844,GitHub Actions,Go,deploy,Network Error,DeploymentError,DeploymentError: health check failed after deployment,deploy/health_check.py line 78,Service did not become healthy after deployment,deploy | Network Error | DeploymentError | DeploymentError: health check failed after deployment | deploy/health_check.py line 78 | Service did not become healthy after deployment,TRUE,environment_config_issue
RCA_01105,GitHub Actions,Python,test,Dependency Error,FileNotFoundError,FileNotFoundError: config/test_config.json not found,app/config.py line 93,Configuration file path does not exist in CI environment | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,test | Dependency Error | FileNotFoundError | FileNotFoundError: config/test_config.json not found | app/config.py line 93 | Configuration file path does not exist in CI environment | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,TRUE,dependency_issue
RCA_00732,Jenkins,Python,test,Deployment Failure,AssertionError,AssertionError: expected status 200 but got 500,app/calculator.py line 62 in process_order,FAILED tests/test_calculator.py::test_deploy_health - application returned internal server error,test | Deployment Failure | AssertionError | AssertionError: expected status 200 but got 500 | app/calculator.py line 62 in process_order | FAILED tests/test_calculator.py::test_deploy_health - application returned internal server error,FALSE,application_defect
RCA_01369,GitHub Actions,Rust,build,Resource Exhaustion,KeyError,KeyError: 'SECRET_KEY',app/config.py line 44 in load_config,Missing environment variable in CI runner | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,build | Resource Exhaustion | KeyError | KeyError: 'SECRET_KEY' | app/config.py line 44 in load_config | Missing environment variable in CI runner | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,FALSE,environment_config_issue
RCA_00528,GitLab CI,Go,build,Network Error,HTTPError,HTTPError: 503 Service Unavailable from upstream service,external_api_client.py line 127,External API returned 503 during internal/service/user_service_test.go::test_api_response,build | Network Error | HTTPError | HTTPError: 503 Service Unavailable from upstream service | external_api_client.py line 127 | External API returned 503 during internal/service/user_service_test.go::test_api_response,TRUE,network_issue
RCA_00605,GitLab CI,C++,deploy,Test Failure,TimeoutError,TimeoutError: waiting for element '#checkout-confirm' exceeded 10 seconds,tests/test_order_service.cpp line 119,FAILED tests/test_order_service.cpp::test_deploy_health - UI locator or wait condition is unstable | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,deploy | Test Failure | TimeoutError | TimeoutError: waiting for element '#checkout-confirm' exceeded 10 seconds | tests/test_order_service.cpp line 119 | FAILED tests/test_order_service.cpp::test_deploy_health - UI locator or wait condition is unstable | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,FALSE,test_script_issue
RCA_01274,CircleCI,C++,build,Timeout,OSError,OSError: [Errno 28] No space left on device,runner/cache.py line 14,Disk full while restoring cache or building image | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,build | Timeout | OSError | OSError: [Errno 28] No space left on device | runner/cache.py line 14 | Disk full while restoring cache or building image | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,TRUE,infrastructure_resource_issue
RCA_01193,GitLab CI,NodeJS,build,Permission Error,ImportError,ImportError: cannot import name 'validate_payments' from application module,tests/priceCalculator.test.js line 12,ERROR collecting tests/priceCalculator.test.js::test_process_order - test imports old function name,build | Permission Error | ImportError | ImportError: cannot import name 'validate_payments' from application module | tests/priceCalculator.test.js line 12 | ERROR collecting tests/priceCalculator.test.js::test_process_order - test imports old function name,TRUE,test_script_issue
RCA_00970,GitLab CI,NodeJS,build,Deployment Failure,FixtureError,fixture 'sample_user' not found,tests/userController.test.js line 21,ERROR at setup of tests/userController.test.js::test_calculate_total - missing test fixture,build | Deployment Failure | FixtureError | fixture 'sample_user' not found | tests/userController.test.js line 21 | ERROR at setup of tests/userController.test.js::test_calculate_total - missing test fixture,FALSE,test_script_issue
RCA_00543,GitHub Actions,Rust,build,Build Failure,ImagePullBackOff,ImagePullBackOff: failed to pull image 'ghcr.io/org/payment-service:sha-1234',kubernetes/deploy.yaml line 21,Deployment failed because container image could not be pulled,build | Build Failure | ImagePullBackOff | ImagePullBackOff: failed to pull image 'ghcr.io/org/payment-service:sha-1234' | kubernetes/deploy.yaml line 21 | Deployment failed because container image could not be pulled,FALSE,deployment_issue
RCA_00425,Azure DevOps,Go,deploy,Configuration Error,DNSResolutionError,Temporary failure in name resolution for host 'internal-api.company.local',urllib3/connection.py line 32,Max retries exceeded because DNS resolution failed,deploy | Configuration Error | DNSResolutionError | Temporary failure in name resolution for host 'internal-api.company.local' | urllib3/connection.py line 32 | Max retries exceeded because DNS resolution failed,FALSE,environment_config_issue
RCA_00774,GitHub Actions,Rust,build,Timeout,SecretDetected,Secret scanning detected possible credential in 'src/main.rs',security/scanner.py line 16,Secret detected by repository scan policy,build | Timeout | SecretDetected | Secret scanning detected possible credential in 'src/main.rs' | security/scanner.py line 16 | Secret detected by repository scan policy,FALSE,security_policy_issue
RCA_01048,GitLab CI,C++,test,Test Failure,OSError,OSError: [Errno 28] No space left on device,runner/cache.py line 37,Disk full while restoring cache or building image,test | Test Failure | OSError | OSError: [Errno 28] No space left on device | runner/cache.py line 37 | Disk full while restoring cache or building image,TRUE,infrastructure_resource_issue
RCA_01415,CircleCI,NodeJS,test,Timeout,SyntaxError,SyntaxError: invalid syntax near 'return',src/controllers/userController.js line 25,ERROR collecting tests/priceCalculator.test.js::test_api_response - syntax error in source file,test | Timeout | SyntaxError | SyntaxError: invalid syntax near 'return' | src/controllers/userController.js line 25 | ERROR collecting tests/priceCalculator.test.js::test_api_response - syntax error in source file,FALSE,application_defect
RCA_00060,Jenkins,NodeJS,build,Build Failure,KeyError,KeyError: 'APP_ENV',app/config.py line 11 in load_config,Missing environment variable in CI runner,build | Build Failure | KeyError | KeyError: 'APP_ENV' | app/config.py line 11 in load_config | Missing environment variable in CI runner,FALSE,environment_config_issue
RCA_01288,Jenkins,Go,build,Timeout,AssertionError,AssertionError: expected status 200 but got 500,internal/config/config.go line 95 in create_user,FAILED internal/service/order_service_test.go::test_api_response - application returned internal server error,build | Timeout | AssertionError | AssertionError: expected status 200 but got 500 | internal/config/config.go line 95 in create_user | FAILED internal/service/order_service_test.go::test_api_response - application returned internal server error,TRUE,application_defect
RCA_00776,GitLab CI,Rust,build,Resource Exhaustion,ConnectionTimeout,ConnectionTimeout: request timed out after 30 seconds,external_api_client.py line 101,External service call timed out while running tests/user_service_test.rs::test_create_user,build | Resource Exhaustion | ConnectionTimeout | ConnectionTimeout: request timed out after 30 seconds | external_api_client.py line 101 | External service call timed out while running tests/user_service_test.rs::test_create_user,TRUE,network_issue
RCA_00037,GitLab CI,Python,build,Permission Error,FixtureError,fixture 'sample_user' not found,tests/test_order_service.py line 32,ERROR at setup of tests/test_order_service.py::test_deploy_health - missing test fixture | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,build | Permission Error | FixtureError | fixture 'sample_user' not found | tests/test_order_service.py line 32 | ERROR at setup of tests/test_order_service.py::test_deploy_health - missing test fixture | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,TRUE,test_script_issue
RCA_01279,GitLab CI,NodeJS,build,Configuration Error,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',src/services/orderService.js line 138 in validate_payment,FAILED tests/priceCalculator.test.js::test_calculate_total - type mismatch in business logic,build | Configuration Error | TypeError | TypeError: unsupported operand type(s) for +: 'int' and 'str' | src/services/orderService.js line 138 in validate_payment | FAILED tests/priceCalculator.test.js::test_calculate_total - type mismatch in business logic,TRUE,application_defect
RCA_00867,GitHub Actions,Python,test,Deployment Failure,TimeoutError,TimeoutError: waiting for element '.user-row' exceeded 10 seconds,tests/test_order_service.py line 80,FAILED tests/test_order_service.py::test_apply_discount - UI locator or wait condition is unstable,test | Deployment Failure | TimeoutError | TimeoutError: waiting for element '.user-row' exceeded 10 seconds | tests/test_order_service.py line 80 | FAILED tests/test_order_service.py::test_apply_discount - UI locator or wait condition is unstable,FALSE,test_script_issue
RCA_00905,GitHub Actions,Python,build,Security Scan Failure,AssertionError,AssertionError: expected status 200 but got 500,app/calculator.py line 95 in create_user,FAILED tests/test_order_service.py::test_calculate_total - application returned internal server error,build | Security Scan Failure | AssertionError | AssertionError: expected status 200 but got 500 | app/calculator.py line 95 in create_user | FAILED tests/test_order_service.py::test_calculate_total - application returned internal server error,TRUE,application_defect
